word	count
tv	125
ordered	15
herself	75
diapers	49
pumpkins	35
barney	32
pack	127
stickers	131
shout	23
boiling	29
uniform	12
tee	54
tried	90
bedroom	57
hanging	71
player	30
steam	29
street's	2
crunching	10
maniac	4
team	36
sweetie	1390
polar	91
alice	18
course	138
babysit	9
seal	36
bags	43
aquarium	40
shocked	5
doorway	15
mother	371
talkin	14
abee	6
standing	116
expression	4
awkwardly	1
pocket	269
inside	484
doh	234
wagon	79
smoothing	6
desperately	5
yack	15
tricky	17
fault	6
coordinating	1
sounds	206
ion	1
tricking	2
screw	42
compartment	5
amazing	40
como	1
piles	7
grab	49
badly	7
cane	17
candy	119
whispering	14
fence	54
chirping	6
chirps	1
chirp	11
styled	4
recyclable	2
book's	8
rip	31
i'd	191
ta	77
screwdriver	31
sittin'	1
stereo	9
wop	1
benefit	2
stairs	123
birdy	35
pirate	49
dressed	148
mat	80
stir	45
cherry	79
ate	215
teasing	3
dad	137
ping	8
squirrels	33
grover's	2
plastics	2
ark	8
safe	93
swept	1
floods	3
single	16
storm	43
afraid	62
cha	25
watching	149
lids	5
noisy	61
halloween	83
steak	21
crunchy	77
fixing	55
carrot	62
ole	6
tops	25
quickly	83
nail	30
pastry	4
barely	24
thirteen	55
machine	66
cellar	7
sneezing	9
sweetheart	49
thick	35
breaking	25
hammering	8
peek	50
mi	2
re	4
sled	14
kill	2
yelling	24
wrap	87
ho	79
caramel	9
abc's	6
tools	76
moving	119
pliers	11
sugar	92
snakes	38
bother	34
suds	6
exploded	4
spatula	14
papers	20
betsy	18
mega	2
nicely	58
buying	26
muffin	36
nicky	9
timmy	3
disappear	7
buckle	45
chewing	47
wrinkle	1
doin'	16
wrinkly	5
sliding	32
vitamin	11
witch	62
ghost	37
wrapper	8
toned	1
pizza	106
bins	5
puts	40
sta	1
equipment	17
film	7
ask	231
they'll	66
concrete	11
half	167
driveway	12
carpet	27
pipes	8
bringing	57
peanuts	24
walkin'	1
greens	16
sausage	7
cram	1
berries	45
eats	82
torpedo	2
madman	1
least	52
castle	48
plastic	68
match	182
tape	284
spanish	29
wouldn't	183
pepper	37
lucky	78
eggplant	7
drumstick	5
unplug	9
bathroom	99
lid	43
earlier	28
puck	4
reds	10
strike	5
soft	128
ant	64
wayland	2
alarm	10
dunno	87
nothin	2
yellows	7
ceiling	38
ground	239
bigger	159
slipper	29
jeep	16
pedals	4
besides	22
crashes	2
drives	43
he'd	27
chin	72
steering	12
pedaling	4
pedal	7
balance	24
bulldozer	30
it'll	111
chatty	5
rather	63
envelope	11
tables	7
couch	131
sewing	9
magazines	7
entertainment	3
live	343
bar	43
fa	4
messed	10
worms	16
dried	41
wear	450
spoken	1
key	85
hole	146
plays	29
smoochy	1
fishes	9
hers	28
others	20
tastes	39
clown	120
glockenspiel	6
cardinal	16
flip	77
rides	40
barks	8
ache	16
low	59
supply	4
tupperware	4
fro	2
manta	3
juices	4
nursing	69
princess	110
clam	20
own	162
seahorse	14
dialing	9
cheat	4
hasn't	36
whale	88
lazy	23
ari	1
pretzel	17
wags	18
captain	26
number	216
wiggles	41
legs	165
gettin'	5
henry	95
wednesday	41
boos	13
scratches	2
screen	11
dial	5
cracking	7
seven's	2
attractive	3
squeeze	96
footsteps	5
crack	100
ocean	115
crown	36
ribbit	71
nest	119
answer	55
somethin'	1
sore	14
advil	2
joey's	8
tuba	14
bites	42
band	23
ba	78
bak	3
sandwiches	19
prepared	7
sectional	1
knee	78
dee	140
rear	13
remind	21
gently	59
stuffed	39
songs	69
ruined	7
mashed	18
anytime	10
that'll	51
squash	24
flown	3
terribly	6
speaking	20
since	100
card	119
upsetting	6
earring	6
longest	11
cord	20
twice	22
toss	9
broom	41
attachments	4
vacuum	50
rosie	77
chitchat	1
difference	23
sells	7
dishwasher	12
melted	9
oldies	1
projects	2
nobody's	16
lately	19
chico's	1
coupons	2
mr	167
opening	50
heavy	124
straight	133
dam	10
bam	9
moved	63
lollipop	39
mom's	26
throws	12
finding	49
amanda	217
father's	16
doubt	8
performer	2
stage	19
kitties	8
slice	29
janet	15
curves	5
recipe	8
velcro	15
colored	36
beating	3
towards	29
fashion	6
eyesight	2
eyeball	3
servings	1
steppin'	1
must've	11
fighters	14
shock	8
peeking	13
rushes	3
forth	60
hose	32
privacy	5
smoke	42
girl	603
calls	60
mama	303
body	128
soon	263
disney	8
playhouse	5
answers	5
valley	25
fireman	8
save	45
chu	1
hat's	4
print	16
stole	9
correct	15
decorated	5
dark	194
lets	36
rendition	1
beginning	64
weather	41
swear	11
regular	67
pineapple	18
half's	1
houses	32
dumb	5
festive	1
pancakes	77
plum	32
pip	2
belongs	102
theme	9
teach	47
boring	24
tablecloth	4
jumping	109
microwave	45
gold	58
height	4
angry	61
blueberries	149
eyelids	6
plug	19
sneeze	27
ear	146
vary	1
pearl	15
coral	5
potato	193
spiffy	1
caboose	76
tail	299
lips	41
smashing	4
squishy	83
jar	60
grey	48
goldenrod	11
wisteria	1
buildings	31
boobs	2
zone	12
crossing	26
turquoise	5
railroad	31
pedestrian	5
tan	6
marine	1
aqua	7
cadet	11
names	85
fancy	29
terrible	58
france	23
hospitality	1
picture	894
bears	175
enter	11
triple	5
ter	1
picky	2
fruits	15
thursday	42
today's	25
nemo	58
tongue	108
recyclables	1
package	34
syrup	71
maple	32
how're	8
poppa	3
stores	21
could've	5
pots	42
gossip	1
mower	14
topic	4
shreds	2
whats	8
important	50
mickey	28
answering	5
february	15
counter	26
lint	4
perfectly	35
placed	3
bottle	190
magnets	26
lettuce	39
vanilla	36
exact	7
brio	5
shrub	1
salamander	8
erase	48
vegetable	31
reflection	8
lights	76
sides	39
syrups	1
stegosaurus	30
handkerchief	4
mustache	32
shopping	80
behavior	4
yell	16
dandelion	36
july	27
sale	51
tickets	15
cabinets	3
triceratops	15
grow	117
chick	115
frogs	65
barn	169
lies	5
ugly	8
thirteenth	8
september	33
born	66
certainly	36
rosey	4
percent	13
growing	70
turns	55
adult	9
citizen	1
senior	2
lavender	1
pen	137
grandpa's	18
sample	5
mcdonald	15
mommies	39
toast	216
lives	214
tapes	6
cough	61
strawberry	119
plain	67
blankie	110
lizards	15
cottage	26
iguanas	4
marvelous	8
tries	19
large	55
burps	1
dalmatian	6
lizard	61
enjoy	27
na	22
daytime	8
surprised	65
sunny	71
bush	33
moth	12
oven	59
mold	5
stepped	34
leg	120
